Sample_ID	Genbank accession	SRA accession	Collection Date	Host	Country*	Region	Sequence type (ST)	Biovar	Lineage	Global phylogeny	Temporal analysis	cgMLST analysis	cgMLST Complex	BAPS
1962_MALTA_GCA_003452125.1	GCA_003452125.1	NA	1962	NA	MALTA	NA	7	NA	American	yes	no	no	NA	BAPS1
1963_CHINA_GCA_003993825.1	GCA_003993825.1	NA	1963	GOAT	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
1963_NA_GCA_000022625.1	GCA_000022625.1	NA	1963	NA	NA	NA	8	2	East Mediterranean	yes	no	no	NA	BAPS3
1963_NA_GCA_000160295.1	GCA_000160295.1	NA	1963	NA	NA	NA	7	1	American	yes	yes	no	NA	BAPS1
1964_NA_GCA_000366845.1	GCA_000366845.1	NA	1964	NA	NA	NA	41	NA	East Mediterranean	yes	yes	no	NA	BAPS3
1966_INDIA_GCA_000366865.1	GCA_000366865.1	NA	1966	NA	INDIA	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
1973_CHINA_GCA_003993875.1	GCA_003993875.1	NA	1973	HUMAN	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
1980_CHINA_GCA_003993935.1	GCA_003993935.1	NA	1980	GOAT	CHINA	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
1980_CHINA_GCA_003993995.1	GCA_003993995.1	NA	1980	GOAT	CHINA	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
1986_CHINA_GCA_000298615.1	GCA_000298615.1	NA	1986	NA	CHINA	NA	8	3	East Mediterranean	yes	no	no	NA	BAPS3
1990_CHINA_GCA_003993855.1	GCA_003993855.1	NA	1990	GOAT	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
1991_CHINA_GCA_003994015.1	GCA_003994015.1	NA	1991	GOAT	CHINA	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
1995_USA_GCA_000988815.1	GCA_000988815.1	NA	1995	NA	USA	NA	11	NA	West Mediterranean	yes	yes	no	NA	BAPS4
1996_ARGENTINA_GCA_000366905.1	GCA_000366905.1	NA	1996	NA	ARGENTINA	NA	7	NA	American	yes	yes	no	NA	BAPS1
1999_EGYPT_GCA_000370845.1	GCA_000370845.1	NA	1999	NA	EGYPT	NA	11	1	West Mediterranean	yes	yes	no	NA	BAPS5
1999_IRAQ_GCF_900236525.1	GCF_900236525.1	NA	1999	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
1999_NA_GCF_900236555.1	GCF_900236555.1	NA	1999	NA	NA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2000_FRANCE_GCA_900417195.1	GCA_900417195.1	NA	2000	HUMAN	FRANCE	NA	11	3	West Mediterranean	yes	yes	no	NA	BAPS4
2000_FRANCE_GCA_900417205.1	GCA_900417205.1	NA	2000	CATTLE	FRANCE	NA	11	3	West Mediterranean	yes	no	no	NA	BAPS4
2000_FRANCE_GCA_900417215.1	GCA_900417215.1	NA	2000	HUMAN	FRANCE	NA	11	3	West Mediterranean	yes	no	no	NA	BAPS4
2000_FRANCE_GCA_900417225.1	GCA_900417225.1	NA	2000	SHEEP	FRANCE	NA	11	3	West Mediterranean	yes	no	no	NA	BAPS4
2000_FRANCE_GCA_900417235.1	GCA_900417235.1	NA	2000	SHEEP	FRANCE	NA	11	3	West Mediterranean	yes	yes	no	NA	BAPS4
2000_FRANCE_GCA_900417245.1	GCA_900417245.1	NA	2000	GOAT	FRANCE	NA	11	3	West Mediterranean	yes	no	no	NA	BAPS4
2000_FRANCE_GCA_900417255.1	GCA_900417255.1	NA	2000	SHEEP	FRANCE	NA	11	3	West Mediterranean	yes	no	no	NA	BAPS4
2001_KOSOVO_GCA_000370685.1	GCA_000370685.1	NA	2001	NA	KOSOVO	NA	8	3	East Mediterranean	yes	yes	no	NA	BAPS3
2002_GEORGIA_GCF_900236335.1	GCF_900236335.1	NA	2002	NA	GEORGIA	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2002_NORWAY_GCA_000366965.1	GCA_000366965.1	NA	2002	NA	NORWAY	NA	7	NA	American	yes	yes	no	NA	BAPS1
2003_NORWAY_GCF_900236565.1	GCF_900236565.1	NA	2003	NA	NORWAY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2003_SOMALIA_GCF_900236375.1	GCF_900236375.1	NA	2003	NA	SOMALIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2005_NA_GCF_900236585.1	GCF_900236585.1	NA	2005	NA	NA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2005_PORTUGAL_GCA_000366925.1	GCA_000366925.1	NA	2005	NA	PORTUGAL	NA	7	NA	American	yes	yes	no	NA	BAPS1
2005_SOMALIA_GCA_000367045.1	GCA_000367045.1	NA	2005	NA	SOMALIA	NA	12	1	African	yes	yes	no	NA	BAPS2
2005_SUDAN_GCA_000367005.1	GCA_000367005.1	NA	2005	NA	SUDAN	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2005_TURKEY_GCA_000370705.1	GCA_000370705.1	NA	2005	NA	TURKEY	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2006_ARGENTINA_GCA_000366625.1	GCA_000366625.1	NA	2006	NA	ARGENTINA	NA	7	1	American	yes	yes	no	NA	BAPS1
2006_ARGENTINA_GCA_000366885.1	GCA_000366885.1	NA	2006	NA	ARGENTINA	NA	7	1	American	yes	yes	no	NA	BAPS1
2006_ETHIOPIA_GCF_900236535.1	GCF_900236535.1	NA	2006	NA	ETHIOPIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2006_IRAQ_GCF_900236445.1	GCF_900236445.1	NA	2006	NA	IRAQ	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2006_ITALY_GCA_000365845.1	GCA_000365845.1	NA	2006	NA	ITALY	NA	11	NA	West Mediterranean	yes	yes	no	NA	BAPS4
2006_NIGERIA_GCA_000370785.1	GCA_000370785.1	NA	2006	NA	NIGERIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2006_PORTUGAL_GCA_000366945.1	GCA_000366945.1	NA	2006	NA	PORTUGAL	NA	8	NA	East Mediterranean	yes	yes	no	NA	BAPS3
2006_SOMALIA_GCA_000370725.1	GCA_000370725.1	NA	2006	NA	SOMALIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2006_SOMALIA_GCA_000370765.1	GCA_000370765.1	NA	2006	NA	SOMALIA	NA	12	NA	African	yes	yes	no	NA	BAPS2
2006_THAILAND_GCA_000370665.1	GCA_000370665.1	NA	2006	NA	THAILAND	NA	39	NA	East Mediterranean	yes	no	no	NA	BAPS3
