# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 05 11:23:39 EST 2022 [seed=1641399818326]
# -threads 32 ST11BeastTest.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
19000	-29043.490190439483	-450.0783099045509	-28593.41188053493	1723.487620795379	293.5123792046211	5381.1090152074	115.40251836045654	0.9690849260566068	1.1065532255777197	0.9810503412382149	0.9188747133414223	1.1207872056040176	0.9036495881820191	28.29776865423812	2.4019221835388464E-4	2.4019221835388466E-4	-28593.41188053493	0.0	-279.40783129618075
20000	-29040.641812977763	-457.2059673814886	-28583.435845596276	1785.0061420474467	231.9938579525533	5559.393742055259	107.71696081430468	0.9738745023446698	1.1065532255777197	0.9815541420529734	0.919572355759002	1.1207450635900849	0.8977007106755507	30.09883117881621	2.2566079982967686E-4	2.2566079982967697E-4	-28583.435845596276	0.0	-290.7043850932904
21000	-29027.599901911068	-459.2820173485863	-28568.317884562483	1859.559069577276	157.44093042272402	5773.222685358807	124.23390753795405	0.9727986423199122	1.1032531258626943	0.982630002077731	0.919572355759002	1.1240451633051103	0.8977007106755507	28.26574261889615	2.1722404588989637E-4	2.172240458898962E-4	-28568.317884562483	0.0	-279.9680424461756
22000	-29011.393087363238	-466.8516665492094	-28544.54142081403	1926.171640679129	90.82835932087096	5957.443756015973	131.08690655566818	0.9671987547169317	1.1117470052117766	0.982630002077731	0.9151092784521693	1.1240451633051103	0.8992697962362816	28.761365931729078	2.118722154338504E-4	2.1187221543385039E-4	-28544.54142081403	0.0	-279.7134904835675
23000	-28996.93591425726	-465.96329364809526	-28530.972620609165	1888.9450883642198	128.05491163578017	5930.101851896685	122.9537324562152	0.9687590686735726	1.1117470052117766	0.9733411547223635	0.91368929971045	1.140841359714672	0.8916221119671656	26.294559548537006	2.115476890536043E-4	2.1154768905360427E-4	-28530.972620609165	0.0	-291.89808830348403
24000	-28976.585914196025	-465.66044363110564	-28510.92547056492	1900.1848106354287	116.81518936457132	5955.019278121228	123.84345766797391	0.9618074869727962	1.1189606088109427	0.9629691559723338	0.91368929971045	1.1500267547923433	0.8925466937411346	26.294559548537006	2.1308298207037705E-4	2.13082982070377E-4	-28510.92547056492	0.0	-290.6895800651603
25000	-28955.410233407027	-485.6281152859408	-28469.782118121086	1958.7092713837742	58.290728616225806	6202.09701437067	122.79416726290525	0.9572696026888363	1.121340565022946	0.9605891997603305	0.9067346887110593	1.1602143639393345	0.8938515798774936	32.2489836972272	2.0130726993520317E-4	2.0130726993520306E-4	-28469.782118121086	0.0	-299.8668310024109
26000	-28933.77790312205	-484.8749403224548	-28448.902962799595	1908.928359721941	108.07164027805902	6146.768148059594	122.89002645867131	0.9534684466891338	1.137747242143795	0.9515551132468073	0.9067346887110593	1.1612326696923394	0.8892618395168653	29.954830115738293	2.0042878901721842E-4	2.0042878901721842E-4	-28448.902962799595	0.0	-303.6203481309787
27000	-28908.869440355338	-479.47522961143187	-28429.394210743907	1948.123560777634	68.87643922236589	6225.486149366757	127.3812876180952	0.9503984355322472	1.141489278763391	0.9478130766272115	0.8937421414314896	1.1774317931132285	0.8891252745324325	27.56528572926015	2.0065691949165237E-4	2.0065691949165234E-4	-28429.394210743907	0.0	-298.49706122242225
28000	-28883.216768530037	-480.7603460209861	-28402.45642250905	1912.2936217698652	104.70637823013476	6168.96021877734	135.17156963010243	0.9248622877645976	1.1688816413531424	0.9421261311720832	0.8948514761143161	1.1822572981312023	0.8870211654646587	27.563042726762244	2.0765654878889808E-4	2.076565487888981E-4	-28402.45642250905	0.0	-291.9428384295586
29000	-28876.15092982417	-491.6003839109212	-28384.550545913247	1991.0937504423475	25.906249557652473	6325.326496348445	125.6989142408707	0.9195517073416097	1.1688816413531424	0.9529024171890275	0.8846298962033069	1.1870802902341104	0.8869540476788033	33.5986556202816	1.9698084320049548E-4	1.969808432004955E-4	-28384.550545913247	0.0	-300.25826795229324
30000	-28852.563242565026	-491.45735110578977	-28361.105891459236	1891.5223932318186	125.47760676818143	6163.172588980851	125.04166690022124	0.9010979137633526	1.1801674140585245	0.9384652357923025	0.8846298962033069	1.1986031825823018	0.897036357600212	31.779358289582053	1.9949927378033378E-4	1.9949927378033373E-4	-28361.105891459236	0.0	-304.40815979411104
31000	-28860.907864951638	-489.8729094863498	-28371.03495546529	2121.828071676541	-104.82807167654119	6733.0027003382365	147.04136324420094	0.9010979137633526	1.1720478012905442	0.9330402875013534	0.8846298962033069	1.2079212958115428	0.9012628054299004	26.63049528239138	1.9076187665055007E-4	1.9076187665055004E-4	-28371.03495546529	0.0	-291.1335031701313
32000	-28851.283592043008	-488.4224848408835	-28362.861107202123	2034.9373330126139	-17.937333012613863	6560.878399598973	137.95306041413693	0.9074158357313997	1.180658145885434	0.9255444323369318	0.8798823955751365	1.2095116754151756	0.896987515055923	26.419869294588015	1.8718700383800994E-4	1.8718700383800986E-4	-28362.861107202123	0.0	-299.24543293037607
33000	-28847.70631172566	-485.7048630926033	-28362.001448633055	2076.9747800941323	-59.97478009413226	6654.424938511086	137.80273227594003	0.9156680040136522	1.1875995227357712	0.9255444323369318	0.8798823955751365	1.207865804772574	0.8834398405659348	25.340177031905945	1.8851084525886612E-4	1.8851084525886612E-4	-28362.001448633055	0.0	-298.8147588155682
